accession,filename,form,event_id,entity_name,url,local_path,status,error,bytes,chars,words,tokens_whitespace,pages_approx_500w,content_sha1,n_html_tables,table_word_share,narrative_word_share,metric_source
0001659587-20-000002,hartman20_sctota4.htm,SC TO-T/A,005-91208,"Hartman Short Term Income Properties XX, Inc.",https://www.sec.gov/Archives/edgar/data/1446687/000165958720000002/hartman20_sctota4.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001659587-20-000002__hartman20_sctota4.htm,ok,,9733,3118,497,497,0.99,d6ec6619a07a87ee40166bca862454eb460b4840,0,0.0,1.0,observed_sample
0001193125-20-002603,d836635dsc14d9a.htm,SC 14D9/A,005-90741,"Synthorx, Inc.",https://www.sec.gov/Archives/edgar/data/1609727/000119312520002603/d836635dsc14d9a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-002603__d836635dsc14d9a.htm,ok,,29904,12418,1998,1998,4.0,6860870643fcdfbd63b510f6d8943168742c0b8f,8,0.0455,0.9545,observed_sample
0001213900-20-000508,sctoi010820_flatrockcapital.htm,SC TO-I,005-90531,Flat Rock Capital Corp.,https://www.sec.gov/Archives/edgar/data/1701724/000121390020000508/sctoi010820_flatrockcapital.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001213900-20-000508__sctoi010820_flatrockcapital.htm,ok,,38760,12152,1899,1899,3.8,2211cd659053743e03e7a73171311bc9d2208453,7,0.1385,0.8615,observed_sample
0000921895-20-000063,tota306165007_01082020.htm,SC TO-T/A,005-91241,Woodbridge Liquidation Trust,https://www.sec.gov/Archives/edgar/data/1785494/000092189520000063/tota306165007_01082020.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0000921895-20-000063__tota306165007_01082020.htm,ok,,34532,9838,1539,1539,3.08,43edd71ca9d9d1ca8715dede8c42f9ad249c6fa2,12,0.4613,0.5387,observed_sample
0001047469-20-000123,a2240408zsc14d9.htm,SC 14D9,005-88619,"Diplomat Pharmacy, Inc.",https://www.sec.gov/Archives/edgar/data/1610092/000104746920000123/a2240408zsc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001047469-20-000123__a2240408zsc14d9.htm,ok,,564845,266844,42277,42277,84.55,812fbaa095c380f62c76ac683f4fefb9b78759bc,19,0.0626,0.9374,observed_sample
0001193125-20-004173,d769985dsctot.htm,SC TO-T,005-88619,"Diplomat Pharmacy, Inc.",https://www.sec.gov/Archives/edgar/data/1610092/000119312520004173/d769985dsctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-004173__d769985dsctot.htm,ok,,46444,13187,2082,2082,4.16,954617eb61c8d96946da0b596a3ed2c13687c995,28,0.3564,0.6436,observed_sample
0001104659-20-002682,tv536111-sctoi.htm,SC TO-I,005-89596,"Healthcare Trust, Inc.",https://www.sec.gov/Archives/edgar/data/1561032/000110465920002682/tv536111-sctoi.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-002682__tv536111-sctoi.htm,ok,,48687,11094,1902,1902,3.8,c39eca0f4dced80b638077f5d39305b43f5eb761,5,0.5636,0.4364,observed_sample
0001193125-20-004671,d845644dsctoia.htm,SC TO-I/A,005-89632,"AMG Pantheon Fund, LLC",https://www.sec.gov/Archives/edgar/data/1609211/000119312520004671/d845644dsctoia.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-004671__d845644dsctoia.htm,ok,,21143,4898,783,783,1.57,b29d7f8c10d0186277f39ed938f7848156a55488,13,0.4393,0.5607,observed_sample
0001623632-20-000018,form.htm,SC TO-I,005-89950,Federated Project & Trade Finance Tender Fund,https://www.sec.gov/Archives/edgar/data/1677615/000162363220000018/form.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001623632-20-000018__form.htm,ok,,53975,31050,5054,5054,10.11,629a870b617f375c238379d2a5d1f4218f23290e,9,0.0514,0.9486,observed_sample
0001047469-20-000214,a2240473zsc14d9.htm,SC 14D9,005-88599,Care.com Inc,https://www.sec.gov/Archives/edgar/data/1412270/000104746920000214/a2240473zsc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001047469-20-000214__a2240473zsc14d9.htm,ok,,505605,250009,38785,38785,77.57,8ef914a9aa3530be719ff568b84fbb6f4fd3ac25,19,0.0532,0.9468,observed_sample
0001140361-20-000734,nt10007553x1_sc14d9.htm,SC 14D9,005-91241,Woodbridge Liquidation Trust,https://www.sec.gov/Archives/edgar/data/1785494/000114036120000734/nt10007553x1_sc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001140361-20-000734__nt10007553x1_sc14d9.htm,ok,,183537,54324,8587,8587,17.17,5c81984f494d31b4638d6bff06abec49814485e0,13,0.1234,0.8766,observed_sample
0001047469-20-000213,a2240423zscto-t.htm,SC TO-T,005-88599,Care.com Inc,https://www.sec.gov/Archives/edgar/data/1412270/000104746920000213/a2240423zscto-t.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001047469-20-000213__a2240423zscto-t.htm,ok,,59290,17446,2712,2712,5.42,b33881f18daa4ca2137abbeed40d75951b984d2a,7,0.2872,0.7128,observed_sample
0001387131-20-000238,xbit-sctoi_011420.htm,SC TO-I,005-88810,XBiotech Inc.,https://www.sec.gov/Archives/edgar/data/1626878/000138713120000238/xbit-sctoi_011420.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001387131-20-000238__xbit-sctoi_011420.htm,ok,,95898,12652,1970,1970,3.94,e1652cb9b604f6977ca40fc3feadeabccf98f7a9,4,0.1843,0.8157,observed_sample
0001193125-20-007558,d871265dsc14d9a.htm,SC 14D9/A,005-89574,"Audentes Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1628738/000119312520007558/d871265dsc14d9a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-007558__d871265dsc14d9a.htm,ok,,16285,4908,772,772,1.54,b8c511d363b7168b1b9b70ef41311ffe9541f95a,4,0.1244,0.8756,observed_sample
0001193125-20-008165,d872806dsc14d9a.htm,SC 14D9/A,005-90741,"Synthorx, Inc.",https://www.sec.gov/Archives/edgar/data/1609727/000119312520008165/d872806dsc14d9a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-008165__d872806dsc14d9a.htm,ok,,35933,14676,2253,2253,4.51,cf0743d1536ecba93f689a57cb9463098e9febcb,8,0.1638,0.8362,observed_sample
0001398344-20-000847,fp0049679_sctoi.htm,SC TO-I,005-89754,Peachtree Alternative Strategies Fund,https://www.sec.gov/Archives/edgar/data/1682662/000139834420000847/fp0049679_sctoi.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001398344-20-000847__fp0049679_sctoi.htm,ok,,118766,40453,6588,6588,13.18,0874089ea668deb9aa0b6953c491c211867086cb,41,0.2637,0.7363,observed_sample
0001398344-20-000838,fp0049500_sctoi.htm,SC TO-I,005-89250,ABS Long/Short Strategies Fund,https://www.sec.gov/Archives/edgar/data/1649363/000139834420000838/fp0049500_sctoi.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001398344-20-000838__fp0049500_sctoi.htm,ok,,92225,38303,6453,6453,12.91,6e677a17e0674504145e05628a6982efd1520b68,18,0.2396,0.7604,observed_sample
0001104659-20-004498,tm203495d2_sc14d9a.htm,SC 14D9/A,005-48819,ARQULE INC,https://www.sec.gov/Archives/edgar/data/1019695/000110465920004498/tm203495d2_sc14d9a.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-004498__tm203495d2_sc14d9a.htm,ok,,19070,6116,979,979,1.96,99e67670952224aecb431572c5ceb0a52cc54a3e,4,0.1001,0.8999,observed_sample
0001628280-20-000450,dermirasc14d9.htm,SC 14D9,005-88347,"Dermira, Inc.",https://www.sec.gov/Archives/edgar/data/1557883/000162828020000450/dermirasc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001628280-20-000450__dermirasc14d9.htm,ok,,985178,278732,44390,44390,88.78,7b243a2b844b0cfeae40adbbdb72ed1fd5cb8240,135,0.1718,0.8282,observed_sample
0001193125-20-011457,d859616dsctot.htm,SC TO-T,005-88347,"Dermira, Inc.",https://www.sec.gov/Archives/edgar/data/1557883/000119312520011457/d859616dsctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-011457__d859616dsctot.htm,ok,,69782,13625,2174,2174,4.35,f1316da107886d556023a57e491fd09be78542a1,68,0.4931,0.5069,observed_sample
0001193125-20-017140,d878483dsctot.htm,SC TO-T,005-85782,Primo Water Corp,https://www.sec.gov/Archives/edgar/data/1365101/000119312520017140/d878483dsctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-017140__d878483dsctot.htm,ok,,40270,13188,2031,2031,4.06,4dd04c51fcdcc8979d3e8af5cc97513a83d866d5,13,0.3949,0.6051,observed_sample
0001193125-20-017143,d866663dsc14d9.htm,SC 14D9,005-85782,Primo Water Corp,https://www.sec.gov/Archives/edgar/data/1365101/000119312520017143/d866663dsc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-017143__d866663dsc14d9.htm,ok,,594034,261854,41861,41861,83.72,d10f7a142fa33ec8826d38a06c0ffaa7b5058737,173,0.2884,0.7116,observed_sample
0001193125-20-018554,d11893dsc14d9.htm,SC 14D9,005-86679,InterXion Holding N.V.,https://www.sec.gov/Archives/edgar/data/1500866/000119312520018554/d11893dsc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-018554__d11893dsc14d9.htm,ok,,783630,357305,54564,54564,109.13,712f6cf3bab2d9a4f9b5fe773a3ea83b5896c245,316,0.3192,0.6808,observed_sample
0001193125-20-017554,d874465dsctot.htm,SC TO-T,005-86679,InterXion Holding N.V.,https://www.sec.gov/Archives/edgar/data/1500866/000119312520017554/d874465dsctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-017554__d874465dsctot.htm,ok,,58996,24185,3735,3735,7.47,c453621a33ec4bf9b224538c113ad832a00e687a,30,0.2755,0.7245,observed_sample
0001047469-20-000646,a2240630zsc14d9.htm,SC 14D9,005-18240,CSS INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/20629/000104746920000646/a2240630zsc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001047469-20-000646__a2240630zsc14d9.htm,ok,,487920,230662,36123,36123,72.25,d87a08d88de2874a0524137632d4a9c0bf9be40c,20,0.0779,0.9221,observed_sample
0001047469-20-000645,a2240634zscto-t.htm,SC TO-T,005-18240,CSS INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/20629/000104746920000645/a2240634zscto-t.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001047469-20-000645__a2240634zscto-t.htm,ok,,56012,15339,2314,2314,4.63,6d1113c236e52a3081b7cc98fedbf6a6788ff92e,5,0.1318,0.8682,observed_sample
0001659587-20-000006,kbs2-sctot.htm,SC TO-T,005-87404,"KBS Real Estate Investment Trust II, Inc.",https://www.sec.gov/Archives/edgar/data/1411059/000165958720000006/kbs2-sctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001659587-20-000006__kbs2-sctot.htm,ok,,14187,5273,833,833,1.67,4b07f06a181806015f144b7f4436cd240439a9e5,0,0.0,1.0,observed_sample
0001437749-20-002050,hpep20200207_sctot.htm,SC TO-T,005-90824,Pure Acquisition Corp.,https://www.sec.gov/Archives/edgar/data/1726293/000143774920002050/hpep20200207_sctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001437749-20-002050__hpep20200207_sctot.htm,ok,,79505,20297,3266,3266,6.53,ae546d1adb3a1301e5ffaceb36d61424c20c16bc,24,0.2866,0.7134,observed_sample
0001445866-20-000112,escc_sc14d9.htm,SC 14D9,005-09915,EVANS & SUTHERLAND COMPUTER CORP,https://www.sec.gov/Archives/edgar/data/276283/000144586620000112/escc_sc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001445866-20-000112__escc_sc14d9.htm,ok,,10819,3522,557,557,1.11,ef8e4627a9f05c87e05fe629737e4825df23ee9a,0,0.0,1.0,observed_sample
0001437749-20-003185,pacq20200219_sc14d9.htm,SC 14D9,005-90824,Pure Acquisition Corp.,https://www.sec.gov/Archives/edgar/data/1726293/000143774920003185/pacq20200219_sc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001437749-20-003185__pacq20200219_sc14d9.htm,ok,,63336,19788,3146,3146,6.29,1e44f060b2d5610e9e363defd806c71a009e7a98,16,0.3201,0.6799,observed_sample
0001193125-20-046329,d877277dsctot.htm,SC TO-T,005-89329,INSTRUCTURE INC,https://www.sec.gov/Archives/edgar/data/1355754/000119312520046329/d877277dsctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-046329__d877277dsctot.htm,ok,,80047,18059,2767,2767,5.53,94dc71561b7cd1f9e410e486c1486008d44694a3,32,0.3383,0.6617,observed_sample
0001193125-20-046457,d893142dsc14d9.htm,SC 14D9,005-89329,INSTRUCTURE INC,https://www.sec.gov/Archives/edgar/data/1355754/000119312520046457/d893142dsc14d9.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001193125-20-046457__d893142dsc14d9.htm,ok,,632208,281595,43859,43859,87.72,39886808320ca4fccfffd57a2b00cd597e9ab105,143,0.1873,0.8127,observed_sample
0001104659-20-025077,tm2010783-5_sctot.htm,SC TO-T,005-88610,Jumei International Holding Ltd,https://www.sec.gov/Archives/edgar/data/1597680/000110465920025077/tm2010783-5_sctot.htm,/Users/kedarvaidya/Desktop/BNY-Capstone-Project/data/corpus/sample_docs/0001104659-20-025077__tm2010783-5_sctot.htm,ok,,81699,23826,3648,3648,7.3,c2b77024e6d24f29a7675d41ddb9276f08691377,5,0.1593,0.8407,observed_sample
